Gender,Most Comfortable Language,Location of Secondary School,Science Stream,Type of Qualification Completed,Grades Obtained in Qualification,Frequency of Working with Classmates,Academic Year and Trimester,Year of Birth,English Proficiency,Interest in Studying Computer,Average Studying Hours per Week,CGPA,PROGRAMMING AND PROBLEM SOLVING,SOFTWARE AND REQUIREMENTS,TCP/IP NETWORK FUNDAMENTALS,PROBABILITY AND STATISTICS FOR COMPUTING,OBJECT-ORIENTED APPLICATION DEVELOPMENT,DATABASE SYSTEM FUNDAMENTALS,WEB APPLICATION DEVELOPMENT,SOFTWARE DESIGN,SOFTWARE TESTING,COMPUTER ETHICS AND PROFESSIONAL RESPONSIBILITY,INTRODUCTION TO COMPUTER ORGANISATION AND ARCHITECTURE,HUMAN COMPUTER INTERACTION DESIGN,OPERATING SYSTEMS,PROBLEM SOLVING WITH DATA STRUCTURES AND ALGORITHMS,SOFTWARE PROJECT MANAGEMENT,SOFTWARE CONSTRUCTION AND CONFIGURATION,WIRELESS APPLICATION DEVELOPMENT,ADVANCED WEB APPLICATION DEVELOPMENT,SOFTWARE QUALITY ASSURANCE,SOFTWARE ENTREPRENEURSHIP,PROJECT,MULTIMEDIA TECHNOLOGY,ARTIFICIAL INTELLIGENCE,TEAM PROJECT,PROGRAMMING WITH GAME ENGINES,ADVANCED DATABASE SYSTEMS,CLOUD COMPUTING,DIGITAL IMAGE PROCESSING,FUNDAMENTALS OF CYBERSECURITY,PARALLEL PROCESSING,DATA MINING,TCP/IP NETWORK ROUTING,SERVER CONFIGURATION AND MANAGEMENT,TCP/IP NETWORK APPLICATION DEVELOPMENT,NETWORK SECURITY MANAGEMENT
Male,English,Negeri Sembilan,Yes,Foundation in Science,Mostly B's,Often,Year 2 Trimester 3,2003,4,4,11,3.36,B+,B+,A-,B-,A-,A-,B,A-,A-,A+,B-,B-,B,B,A-,A+,B,B-,A+,A-,A-,B,B,B-,C+,A+,B+,B+,A-,B+,A,A-,A-,B,B+
Male,Chinese,Perak,Yes,Foundation in Science,Mostly B's,Sometimes,Year 1 Trimester 3,2003,2,3,3,3.0916,C,A+,B,A-,B,B,B,A-,A,A+,B,A-,A,A+,A,B-,F,B,A,A-,C,A+,B,B,A-,C,C+,B,C,A,B+,B+,B-,A-,B
Male,Chinese,Penang,Yes,Foundation in Art,Mostly A's,Sometimes,Year 2 Trimester 2,2001,4,4,14,3.4868,B+,A-,B+,A+,A+,A+,B+,B,A+,A-,C,A-,B,B+,B,B+,A,B+,A-,A-,B+,B-,B+,A,A,B+,B+,A,A+,A-,A+,A+,A+,B-,B-
Male,Chinese,Selangor,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Sometimes,Year 3 Trimester 2,2004,5,3,8,3.405,A-,A-,B-,B-,A+,B+,B,B-,C+,B+,A,A,A-,A-,A-,A-,B,B-,B+,B+,B+,B-,A,A+,A-,A-,B+,B,A,A,A-,B,A,A+,B+
Female,English,Selangor,Yes,Foundation in Science,Mostly B's,Often,Year 3 Trimester 1,2002,4,4,13,2.8906,B+,B-,B+,B,B+,B-,C+,C+,C+,B,B-,A-,B-,B+,C,C+,A+,A-,B-,B,B+,B+,B+,C+,C+,B-,B-,B+,B+,B+,A,F,C+,C+,B+
Male,Chinese,Selangor,No,Foundation in Art,Mostly A's,Very Often,Year 3 Trimester 1,2003,4,5,10,3.4678,A+,A+,B,B+,B,A+,A+,B,A-,B-,C+,B-,B-,B,B+,B-,A+,A+,A+,B-,A-,B,A,A+,A+,A+,A+,A+,A,A-,B,B,B,A,B+
Female,Chinese,Johor,Yes,Foundation in Science,Mostly A's,Sometimes,Year 2 Trimester 1,2001,4,4,11,3.9002,A+,A+,A,B+,A+,B+,A,A,A,A+,A,A,A,A,A+,A+,A+,B+,A+,A,A+,A+,A,A-,A+,A-,A,A+,A+,A,A+,A+,A-,B+,A+
Male,English,Selangor,No,Diploma,Mostly B's,Often,Year 3 Trimester 1,2003,4,4,4,2.4155,C,B-,C+,C+,F,B-,C,C+,C,A+,B-,B+,B-,B,B+,C,C+,C+,A,B,C,C,B+,C+,B-,B,B-,C+,B-,B,F,C,B+,C,C+
Female,English,Kelantan,Yes,Foundation in Science,Mostly B's,Often,Year 3 Trimester 1,2004,3,4,0,3.7497,A+,A+,B,A+,A+,B-,A+,A+,A,A,A-,A,A,A+,A+,A+,A+,B-,A+,A+,A,A-,A,A,A,C+,B-,A-,A-,A+,B+,B+,A,A+,A+
Male,Chinese,Perak,Yes,Foundation in Science,Mostly B's,Sometimes,Year 3 Trimester 1,2004,4,4,0,2.7203,B+,B,F,B-,B-,B+,B+,B+,B-,A+,B,B-,B-,C,B+,B+,A,B,A,B+,B,B-,C+,F,B+,A-,B+,B,C,B+,F,B+,C+,C,F
Male,English,Kuala Lumpur,Yes,Foundation in Science,Mostly A's,Often,Year 3 Trimester 2,2003,5,5,3,3.7609,A+,A,A+,A+,A+,A-,A,A+,B-,A-,A,A,A,A,A,B+,B-,B+,A-,B+,A,A+,B,A+,A+,A,A+,A-,A,A,A+,A-,A,B+,B+
Male,Chinese,Selangor,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly C's,Very Often,Year 2 Trimester 3,2004,4,4,6,1.9656,C,C+,B-,C+,C+,B+,F,F,C,C+,F,C,C+,F,F,B-,B-,B-,C+,C,C,B,C,F,C+,B-,C,C+,C+,B-,B-,C,B,B-,C
Female,Chinese,Kelantan,Yes,Foundation in Science,Mostly A's,Never,Year 2 Trimester 1,2001,4,4,13,3.7782,A+,A,A,B,A,B,A,A,A,A+,A,A,A,A,A,A+,A+,A+,B-,B,A+,A-,A-,A,A-,A-,B+,A-,A,A+,B+,B,A+,A-,A+
Female,English,Penang,Yes,Diploma,Mostly A's,Sometimes,Year 2 Trimester 2,2000,4,4,7,2.8579,B+,B-,C,B-,C+,F,B-,B,B+,B,B-,B,A-,A-,B,B,C,A-,B,B,C,B+,C,C,B-,A-,B-,A,B+,B+,A+,C+,A,A-,B-
Female,English,Sabah,Yes,Foundation in Science,Mostly B's,Sometimes,Year 3 Trimester 2,2002,4,2,10,3.3707,B,B+,B-,A+,B+,B-,B+,C,B+,A,A-,A,A+,A-,A-,B+,B-,B+,B,B+,A-,A+,B,A-,A+,B+,B-,B+,B-,A-,A-,A,A-,B,B+
Female,Chinese,Selangor,Yes,Foundation in Science,Mostly A's,Very Often,Year 1 Trimester 3,2003,3,4,10,3.6302,A+,B,A-,B,A-,B+,A,A+,A-,A-,A,A,A,A+,C,B,B+,B+,B,A+,B-,A,A-,A,A+,A,A,A-,A+,A,A,A+,A+,A,A+
Male,Chinese,Sabah,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Often,Year 3 Trimester 1,2004,4,5,2,3.0053,B,A,F,B+,B-,B-,B+,B,B-,A+,B,A-,B-,B+,B+,A,B+,C,A-,B,C+,A,A+,B,C+,B-,B+,B,C+,B,A-,B+,B,A,C+
Male,English,Selangor,No,Foundation in Science,Mostly B's,Never,Year 3 Trimester 2,2003,4,5,0,2.8609,A-,A-,B-,B,C+,C+,B,C,C,A-,B+,A-,A-,B,A+,A-,B+,B-,A,C,C,A+,C+,B,F,C,A,B,B+,B-,B,B-,C+,A-,B-
Male,English,Kuala Lumpur,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly A's,Often,Year 2 Trimester 2,2003,4,4,11,3.6214,A+,B,B,C,A-,B+,A,B,B,A+,A-,A,A+,A-,B+,A+,A+,A,A+,A,A+,A+,B+,B,A-,A-,B,A+,A+,A,B+,A,A-,A+,B-
Male,Chinese,Penang,Yes,Foundation in Science,Mostly A's,Very Often,Year 3 Trimester 1,2001,4,5,14,3.949,A+,A+,A,A,A,A-,A+,A+,A,A+,A,A-,A,A,A,A,A+,A+,A,A+,A+,A+,A-,A,A+,A,A+,A+,B+,A,A+,A-,A+,A+,A+
Male,Chinese,Perak,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly A's,Never,Year 2 Trimester 1,2003,3,5,2,3.8697,A+,A,A+,A+,A,B,A-,A,A+,A,A,A,A,A-,A,A-,A,A,B+,A+,A-,A-,A-,A,A,A-,A,A,A,A+,A,A+,A-,A+,A+
Female,English,Penang,Yes,Foundation in Science,Mostly B's,Often,Year 3 Trimester 2,2004,4,3,9,3.2852,A+,B-,C,B-,B+,B,B,B,B,A,A-,A,A-,B+,C,A+,A+,B,B-,A-,A,B-,A+,A+,A,B-,B-,B+,C,A+,B,C+,A,B+,B
Male,Chinese,Selangor,Yes,Foundation in Art,Mostly B's,Sometimes,Year 2 Trimester 2,2002,4,4,8,2.5902,B+,C,C,C,B-,F,B-,C,B+,B-,B-,A-,A-,B+,B,F,C+,B,B,B-,A-,C,B+,B,B+,F,C,C,A-,C,C,B-,C+,A+,C
Male,Chinese,Malacca,Yes,Foundation in Science,Mostly A's,Sometimes,Year 2 Trimester 1,2001,4,3,6,3.371,A,A-,B,B,B,C,A-,B,B,B,B+,B,A-,A-,A-,A-,A-,A-,A-,B+,A-,A+,B,B,A-,A+,C,A+,B,B+,B+,C+,B+,A,A
Male,Chinese,Selangor,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly A's,Often,Year 2 Trimester 3,2001,4,6,2,3.4218,A,A-,B-,B-,A-,B+,B,B,B-,A-,A-,B,A+,A+,A,B+,B,A,B+,B+,B+,A-,A+,B+,A,A-,A-,B+,A-,A-,A+,B,C+,B+,B
Male,Chinese,Kelantan,Yes,Foundation in Science,Mostly A's,Never,Year 3 Trimester 1,2003,4,4,3,3.5077,B,B,A+,A-,B-,A-,A,B,A-,A+,B,A-,A+,A+,A+,A+,B-,A+,B+,A,B,A-,A+,A+,B,A+,A+,A,C+,B,A,A-,A+,B,B
Male,Chinese,Penang,No,Diploma,Mostly A's,Very Often,Year 3 Trimester 2,2003,4,3,17,3.1455,C,A+,B-,B+,A-,A,B,B,A-,A,B+,B+,A-,B,B,C,A-,B-,A+,B+,A,A+,B,F,B,C+,B,A+,B-,C,A+,B,B+,B,C
Male,English,Kuala Lumpur,No,Foundation in Science,Mostly C's,Often,Year 3 Trimester 3,2002,5,4,6,1.9087,C+,C,C,C,F,C,B-,C+,C,C+,B-,B-,C,C+,B,C+,B-,F,F,F,C,C,B-,B-,C+,B,F,C,C,F,B-,C+,C,C,C+
Male,English,Kelantan,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly A's,Sometimes,Year 3 Trimester 2,2002,4,4,14,3.8468,A+,A,A,A,A,A,B,A-,A+,A,A,A,A,A,A+,A,A+,B+,A-,A+,A+,A-,A-,A-,A-,A+,A-,B,A-,A,A+,A,A+,A+,A+
Male,Chinese,Kuala Lumpur,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly A's,Sometimes,Year 2 Trimester 2,2003,3,4,-1,3.8267,A,A,A+,A,A,B,A+,A,A-,A+,A+,A-,A-,A-,A+,A,B+,A+,B+,A,A+,B-,A,A+,A,A+,B,A-,A+,A+,A,A,A-,A+,A
Male,English,Negeri Sembilan,Yes,Foundation in Art,Mostly A's,Often,Year 2 Trimester 3,2001,4,4,6,3.439,B,A,A+,A-,B+,B,A+,A+,B,A,A-,A+,A+,B+,B-,B,B-,A,A-,A+,B,A,B,A,B,B-,B,A,C,A+,B+,B+,B-,A,A+
Male,Chinese,Selangor,Yes,Foundation in Art,Mostly A's,Sometimes,Year 2 Trimester 2,2002,4,4,-4,3.6637,A-,A+,A,A,A,B+,A-,A+,B,A,A,A,A,A,A+,A,A,B+,A,A+,B+,B+,B-,A-,A-,A+,C,A-,B,A+,A,B+,A+,B+,A+
Female,English,Pahang,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Sometimes,Year 2 Trimester 1,2003,4,4,8,3.6466,B-,B+,A+,A+,A+,B-,A,A,A,A,B,A,A,A,B+,B+,C+,A,A+,A+,A,A,A+,A,B+,B-,B,A+,C+,B-,A+,A,A+,A,A+
Male,English,Perak,Yes,Foundation in Science,Mostly B's,Often,Year 2 Trimester 1,2002,4,3,17,3.089,B+,B,B,B-,B+,A-,B,B-,B+,B,B-,B+,A-,A-,B-,B-,B+,B-,B,B,B-,B+,A+,C+,B,A+,A-,A-,C+,A,B-,C+,A-,B-,B
Male,Chinese,Selangor,Yes,Foundation in Science,Mostly C's,Often,Year 1 Trimester 3,2003,3,4,3,3.3685,A+,A-,B-,B+,B-,B-,B,A-,A-,A,B,B,A,A-,A-,A,C,A,A,A-,A+,A-,C+,C+,A-,B-,B+,B,A-,B-,A-,B,A-,B+,B
Male,Chinese,Kuala Lumpur,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly C's,Sometimes,Year 3 Trimester 1,2001,4,4,8,3.5409,B+,B+,A+,B,B+,B,A+,A-,A,B,B,B+,A+,A,A,B,A,A,A,B,B+,A-,A-,B-,B+,B+,B-,A+,B+,A-,B+,A,A,A,A+
Male,English,Sarawak,Yes,Foundation in Art,Mostly B's,Very Often,Year 2 Trimester 3,2003,4,4,-3,2.6301,B+,A+,B,A-,C,F,B-,C,B,B+,B-,A+,B+,B-,A-,A-,B,B-,A+,B+,B-,A+,B,B+,F,F,B,B,C+,C,C+,F,A-,B-,F
Male,Chinese,Sarawak,No,Foundation in Art,Mostly A's,Sometimes,Year 2 Trimester 3,2002,4,5,5,2.7007,A-,B,B+,B-,B-,B,C,C,B-,A+,B+,B+,B-,C+,C+,B,B,B,B,F,F,B-,A+,C+,B+,B+,C+,B,A+,A,B,C+,A,A-,B
Male,English,Selangor,Yes,Foundation in Science,Mostly C's,Often,Year 3 Trimester 1,2002,5,3,3,3.1368,B+,B,C,A-,B+,B+,B,C+,C,B-,A-,A,A-,A-,A-,B-,B,A,B,B,B,B,B,A,A,B+,B-,A-,A-,C+,A,C,B+,C+,B
Male,Chinese,Sarawak,No,Foundation in Art,Mostly B's,Very Often,Year 2 Trimester 2,2003,4,4,8,3.5411,B,B,A-,B+,A+,B,A+,B+,A+,B,A,A,A+,A,B,B,A-,A,B,C+,B+,B,A+,A-,A+,A+,A,B,A-,B+,B,A+,A+,A-,A+
Male,Chinese,Perak,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Sometimes,Year 2 Trimester 1,2003,3,4,5,3.1793,B,B-,A-,B-,B-,F,A-,A+,A-,A-,C+,A-,B,B+,B+,B+,B+,A,A+,C+,B+,A+,B-,B,C+,A-,B+,A-,B,B-,B+,A,B+,C+,B+
Female,Chinese,Perak,No,Diploma,Mostly A's,Very Often,Year 2 Trimester 1,2001,4,3,12,3.7665,A,A,A,A-,A+,A,B,A-,B,A,B,A,A-,A-,A+,A+,A+,A+,B+,A,A+,B,A+,A+,B+,B+,A+,A,A,A,A,A,A,B+,A-
Female,Chinese,Selangor,Yes,Foundation in Science,Mostly C's,Often,Year 3 Trimester 3,2002,4,3,1,2.1329,B+,C+,F,C,F,C+,C,C+,B-,B,C+,B+,B,B,C,C+,B+,B+,B-,C+,F,B+,B,B+,C,A-,F,F,B-,B+,B+,C,C+,F,C
Male,Chinese,Sabah,Yes,UEC (Unified Examination Certificate),Mostly B's,Very Often,Year 2 Trimester 2,2003,3,4,3,2.8409,C,C+,B-,B-,B,B,B+,A-,A-,B,B,B+,A+,A-,A-,B,B+,B-,A-,B+,F,B+,B,F,A,F,A-,A-,A+,A,C+,A,A-,B,B
Female,Chinese,Sabah,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Often,Year 1 Trimester 2,2003,3,3,5,3.8721,A,A-,A+,A-,A,B,A,A,A,A,A,A,A,A,A,A+,A-,A,A,A+,A+,A-,A+,B+,A,B,B,A,A+,A,A+,A,A,A,A
Male,Chinese,Penang,Yes,Foundation in Science,Mostly B's,Sometimes,Year 2 Trimester 3,2000,4,3,18,3.105,B+,C,B,C,B-,B,B,B,B,B-,A,A,A,A,C,B,B,C+,A+,C,B,A-,A-,B,B+,C+,B+,B+,B,B+,A-,B,A,B+,B+
Male,Chinese,Sabah,Yes,Foundation in Science,Mostly B's,Sometimes,Year 3 Trimester 2,2001,5,4,9,3.336,B-,A-,B+,A-,B,B+,A+,B+,B+,A+,A,A,A-,B+,A+,A-,C,F,A,A,A,B+,B,A+,B,B+,B,B+,B,B-,B,A,A,A+,C
Male,English,Johor,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly A's,Never,Year 3 Trimester 2,2004,4,3,1,3.7183,A+,A,B,A+,A-,B+,A,A+,B,A,A+,A,A-,A-,A+,A,B+,B+,A,A,A-,A,A+,B-,B+,A,A-,A+,A,A-,B+,B,A+,A+,A+
Male,Chinese,Sarawak,Yes,Foundation in Art,Mostly B's,Very Often,Year 3 Trimester 2,2002,4,4,3,3.2421,B+,B,B+,B,B-,B,B+,B+,B+,B,A+,A,A-,A-,B,B+,B-,B+,C+,B+,A-,B,A,B-,A+,B-,C+,B-,A-,A,B,B,A-,B+,C+
Female,English,Selangor,Yes,Foundation in Science,Mostly B's,Sometimes,Year 2 Trimester 3,2002,5,5,-2,3.1562,A-,C,C,B,B,B,B+,B,B,A+,A,A,A,A+,A+,B-,A,B+,C+,B+,B,C+,B+,B,B,B,B,B,C+,B+,A+,B-,B-,B+,B
Male,Chinese,Selangor,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Very Often,Year 3 Trimester 1,2002,4,4,5,2.0871,B-,C+,B+,C+,C,F,C,C,B-,C+,C+,C+,C,F,C+,C,B+,C,F,C+,C+,C+,B-,B+,C+,C+,F,C+,C,C,F,C+,C+,B,B-
Female,English,Selangor,Yes,Foundation in Science,Mostly A's,Sometimes,Year 3 Trimester 3,2003,5,4,14,2.4135,B-,C+,B,B-,F,C,B-,C,B+,B,B-,B,B-,C,B,B-,B+,B-,C+,B-,B,C,C,A,F,C,C,B,B,C,C,B-,F,C+,B
Male,Chinese,Perak,Yes,UEC (Unified Examination Certificate),Mostly C's,Never,Year 1 Trimester 2,2003,1,4,-2,3.7607,B,A,A,A+,A,B+,A,A,A,A,A,A,A,A,A-,A+,B+,A+,A+,A-,A+,A,B+,C+,A,B-,A+,A-,B+,A+,B,A+,A-,A,A+
Male,Chinese,Penang,No,Foundation in Art,Mostly C's,Often,Year 3 Trimester 1,2002,4,4,8,2.1511,C,C,F,B-,F,B-,A-,B+,A+,A-,B-,B-,A-,B,C+,B+,B-,B-,B-,F,C+,C+,C+,C,F,C,C+,A-,F,B,F,C+,F,F,C
Male,Chinese,Kuala Lumpur,No,Foundation in Art,Mostly B's,Sometimes,Year 2 Trimester 1,2003,4,3,10,3.5411,B+,A,A,B,A+,B,A,A,A,A,A,A-,A,A,A,B+,A+,B,A,A,B+,A+,B-,A+,B-,A+,B+,B,B+,A+,A,B-,B-,C+,B-
Female,Chinese,Perak,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Sometimes,Year 2 Trimester 3,2003,3,4,11,3.684,A-,A+,A+,A+,B+,B,A,A,A,A-,A,A,A,A-,A+,A+,A+,A,B,A,B,A,B,A+,A,B+,A-,A+,B,A,B,A,B,A+,A-
Male,Chinese,Sabah,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Sometimes,Year 2 Trimester 2,2002,5,3,8,2.0605,F,C+,A-,B-,F,C,A-,A-,A-,B,A-,A,A,A-,F,C+,A-,F,B,B,F,B,A+,F,F,C,C,C,F,F,A,F,A+,F,A-
Female,English,Johor,Yes,UEC (Unified Examination Certificate),Mostly A's,Sometimes,Year 3 Trimester 1,2003,5,4,11,3.6498,A,A,A+,A,A,A+,B,B,A,A,B,A,A-,B,A-,A,B,A+,B,A-,B,A+,B,A+,B,A+,A+,B+,A+,A,A-,A+,A+,A,A
Male,Chinese,Selangor,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly A's,Sometimes,Year 3 Trimester 2,2002,3,4,2,3.5219,B+,A,A-,A+,A-,B+,C,B+,B-,A-,A-,A-,A-,A-,B+,A-,A-,A+,A,B,A-,B+,A,A,A,B-,B+,B+,A+,B+,A+,B+,A-,A,B
Female,Chinese,Selangor,Yes,Foundation in Science,Mostly A's,Very Often,Year 1 Trimester 3,2003,4,4,13,3.5668,A-,B+,A,B,B,B,A,A,A+,A-,A,A,A,A,C,B,A,A-,A,B+,A,A-,B,A,A,A-,B+,B+,B+,B+,B+,B-,B,B+,A
Male,English,Kelantan,Yes,Foundation in Art,Mostly B's,Often,Year 1 Trimester 3,2000,4,3,2,3.6273,B+,B,B-,B+,A-,B+,A,A,A,A,A,A,A,A,B,A,A,B+,A-,A,A-,A+,A+,B,A+,A-,B-,B+,A-,A+,B,A-,B,A+,A-
Female,English,Penang,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Never,Year 2 Trimester 2,2001,4,3,5,3.2484,C,B,B-,B+,A-,B,A+,A,A,A,A+,A,A,A-,C,C,A-,C+,A+,A+,A,B,C,A-,A,A,B-,B-,A+,C+,B-,C,A,A-,F
Male,Chinese,Sarawak,Yes,Foundation in Science,Mostly B's,Often,Year 2 Trimester 2,2002,3,5,7,3.456,A-,B,B,B-,B,A+,A-,A,A-,A,B-,B,A-,B+,A-,B+,B,B+,B+,A+,A+,A,B+,B+,B-,A+,A-,B,A,B,B+,A+,A,C+,B
Female,English,Selangor,Yes,A-Level,Mostly B's,Sometimes,Year 2 Trimester 2,2002,4,5,14,3.6243,A-,A+,B,B-,A+,A+,A+,A,A,A,B,A,A+,B+,A+,B,B,B+,A,A-,A-,B-,A+,A,A,B,B+,A-,A,A+,A+,A,C+,A-,B+
Male,Chinese,Pahang,Yes,Diploma,Mostly A's,Very Often,Year 2 Trimester 2,2003,3,3,7,3.7756,B+,A,A+,A+,A+,A,A-,A+,A,B,A,A,A-,A+,A+,A,A,A-,C,B+,A-,A,A-,A+,A,A,A,B,A+,A+,A+,A-,A+,A+,A-
Female,Chinese,Selangor,No,Foundation in Art,Mostly A's,Sometimes,Year 3 Trimester 2,2003,5,4,8,2.5374,B+,B+,F,B+,B-,B+,C+,C+,C,B,B-,B,B+,C,A+,B,B,C+,F,B+,C+,C+,B-,B,C+,C,B-,B+,B-,C+,B-,C+,A,C+,F
Male,English,Sarawak,Yes,Foundation in Science,Mostly B's,Sometimes,Year 3 Trimester 1,2004,3,4,5,3.0631,A-,B-,C,C,B+,B+,A-,A-,B,A,B-,A-,B-,B-,B+,B+,C,B,B-,B+,B,A,C+,B-,B,B+,A,A,C,B-,B,A-,C,B+,B
Male,English,Kelantan,Yes,Foundation in Art,Mostly A's,Often,Year 2 Trimester 3,2002,5,4,7,3.79,A+,A,A,A,A+,B,A+,A-,A-,A,A,A,A+,A-,A+,B,A-,A,A+,A,A-,B+,A,A-,A-,A+,B-,A,A-,A+,A,A+,A,B+,A+
Male,Chinese,Penang,No,Foundation in Science,Mostly B's,Sometimes,Year 3 Trimester 3,2002,4,4,7,2.3562,C+,B-,F,C+,C+,B-,B+,C+,B-,B,B-,B+,B,B,C+,B-,B-,B-,B-,F,C,C,B-,C+,B,B-,C+,B,C+,B,B-,A-,F,F,C+
Male,Chinese,Selangor,Yes,Foundation in Art,Mostly A's,Sometimes,Year 2 Trimester 2,2003,3,5,5,3.0002,B,B,C,A-,B+,B+,A+,A-,A+,B,B,A-,A,A-,B,A-,B-,C,B+,B+,C,B-,C+,C,B,B+,C,B,B-,B+,A-,A-,C,B+,C
Male,Chinese,Sabah,Yes,Foundation in Science,Mostly A's,Sometimes,Year 3 Trimester 1,2004,3,5,8,3.5986,A,A,B,A+,A+,B-,B,B+,B+,A,A+,A,A-,A-,A,A+,A+,B+,A+,B,B-,B,A+,A+,A+,A-,A,A-,A+,A+,A-,A+,A+,B,B+
Female,English,Malacca,Yes,Foundation in Art,Mostly A's,Often,Year 2 Trimester 2,2003,4,4,7,3.3078,B+,A+,B,B+,B,B+,B,A-,B,A-,B,A+,B+,B-,A-,C+,A-,B,A,A-,A,A+,B,B,B,B,B,A-,B,B-,B+,B,B,B,B+
Male,English,Negeri Sembilan,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Sometimes,Year 2 Trimester 3,2002,3,3,3,3.3508,B,A-,A+,A+,A-,C,B+,B,A+,A,A+,A+,A+,B,B,B-,B,A+,A,B-,A,A,B,B,C+,B-,F,A-,B,B,B,A-,A+,A+,B+
Male,Chinese,Perak,Yes,Foundation in Science,Mostly B's,Often,Year 3 Trimester 3,2002,4,4,2,3.0149,A-,B,C,B,C,B+,B-,F,B-,B,A-,A-,A-,B-,C,A,A,B-,B,F,A,A,A-,A,A+,A+,B,B+,A+,A+,B-,B,C+,C+,C
Male,Chinese,Johor,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly A's,Sometimes,Year 2 Trimester 1,2004,3,4,-5,3.7015,A,A,A+,A-,A-,B-,A,A,A,B+,A-,A,A,A,B-,A,A+,B+,A-,B+,A-,A,A+,A,A,A-,B-,A,C+,A,B+,A,A-,A,A
Female,English,Kelantan,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Never,Year 2 Trimester 2,2001,3,4,12,3.7785,A,A-,A,B,A+,B+,A,A+,A,A,A-,A,A,A-,B-,B,A+,A,A+,A+,A,A-,A-,B-,A+,A+,B+,A-,A+,A,A,A-,A-,A+,A+
Male,Chinese,Penang,No,Diploma,Mostly B's,Very Often,Year 2 Trimester 2,2004,4,4,19,2.5666,B,A,B+,B-,C,B-,B+,C,B+,C,B+,B+,C,B+,F,C+,A-,A-,B,C+,B,F,F,B,B,C,B+,A-,C,C+,B,C,F,B,B-
Female,English,Pahang,No,Foundation in Science,Mostly B's,Often,Year 3 Trimester 1,2003,4,4,4,3.0573,B,C,B+,C,B,B-,B+,B-,A-,A-,B+,A-,B,B,B+,A+,B,B,B-,C,B,B-,C+,B-,B,B,A-,B+,B-,A+,A-,B+,B,A+,C+
Female,English,Penang,No,A-Level,Mostly B's,Never,Year 3 Trimester 2,2003,5,4,14,3.1743,B-,A+,C+,B+,B-,B,A-,A-,B+,A,B,A-,A-,A+,A+,A+,C+,B+,A,A+,B-,A-,B-,B-,B,B,B,B,B,B,B+,A,C,C+,C
Female,English,Sabah,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Sometimes,Year 3 Trimester 2,2002,4,3,18,3.5896,A+,B+,B+,A,B,B-,A+,B,A+,B+,A+,B+,A,B,B+,B,A+,A+,B,B+,A-,A-,A-,A+,A,B+,B+,A,A+,A-,B,A+,A+,B+,A+
Female,Chinese,Kuala Lumpur,Yes,Foundation in Science,Mostly B's,Sometimes,Year 2 Trimester 3,2003,3,3,11,3.5759,B+,B,B,B,B,B,A+,A+,A,A-,A+,A-,A,A,B-,A+,A,B,B+,A+,A+,A+,A-,B,A,A-,A-,B+,B,B+,A-,A-,B,A+,A-
Male,Chinese,Kuala Lumpur,Yes,Foundation in Science,Mostly A's,Sometimes,Year 2 Trimester 1,2003,4,4,1,3.7297,A+,A+,A+,A+,B,B-,A-,A-,A,A-,A+,A+,A+,A-,A-,A,A,A,B+,A+,B+,A-,A,A+,A-,B+,A,A+,B+,A,B-,A,A,A+,A+
Male,Chinese,Sarawak,Yes,Diploma,Mostly A's,Often,Year 2 Trimester 2,1999,4,5,20,3.3906,A-,A+,A-,B,B+,B-,B,C,B,A-,B,A-,A-,B,C+,B,B+,A-,C+,A+,A,A,A-,B,B+,A,A,A,A-,B,A+,B,B,B+,A+
Male,Chinese,Selangor,Yes,Foundation in Art,Mostly B's,Very Often,Year 3 Trimester 1,2003,4,4,11,3.2309,B-,B+,C,C,B+,C,A-,B,B,B+,A,B,A-,A+,A-,B,B,B+,A-,B,A,B-,A+,A,A-,A-,C,B+,B,B+,A+,B-,C,B+,B+
